learning_rate,max_depth,n_estimators,score
0.001,5.0,971.0,0.6894927536231885
0.001,5.0,981.0,0.6894927536231885
0.001,5.0,991.0,0.6894927536231885
0.001,6.0,1.0,0.6811594202898551
0.001,6.0,11.0,0.6644927536231885
0.001,6.0,21.0,0.6815217391304348
0.001,6.0,31.0,0.6728260869565217
0.001,6.0,41.0,0.6728260869565217
0.001,6.0,51.0,0.6728260869565217
0.001,6.0,61.0,0.6728260869565217
0.001,6.0,71.0,0.6811594202898551
0.001,6.0,81.0,0.6811594202898551
0.001,6.0,91.0,0.6811594202898551
0.001,6.0,101.0,0.6811594202898551
0.001,6.0,111.0,0.6811594202898551
0.001,6.0,121.0,0.6811594202898551
0.001,6.0,131.0,0.6811594202898551
0.001,6.0,141.0,0.6811594202898551
0.001,6.0,151.0,0.6811594202898551
0.001,6.0,161.0,0.6811594202898551
0.001,6.0,171.0,0.6811594202898551
0.001,6.0,181.0,0.6811594202898551
0.001,6.0,191.0,0.6811594202898551
0.001,6.0,201.0,0.6811594202898551
0.001,6.0,211.0,0.6811594202898551
0.001,6.0,221.0,0.6811594202898551
0.001,6.0,231.0,0.6728260869565217
0.001,6.0,241.0,0.6728260869565217
0.001,6.0,251.0,0.6728260869565217
0.001,6.0,261.0,0.6728260869565217
0.001,6.0,271.0,0.6728260869565217
0.001,6.0,281.0,0.6728260869565217
0.001,6.0,291.0,0.6728260869565217
0.001,6.0,301.0,0.6728260869565217
0.001,6.0,311.0,0.6728260869565217
0.001,6.0,321.0,0.6728260869565217
0.001,6.0,331.0,0.6728260869565217
0.001,6.0,341.0,0.6728260869565217
0.001,6.0,351.0,0.6728260869565217
0.001,6.0,361.0,0.6728260869565217
0.001,6.0,371.0,0.6728260869565217
0.001,6.0,381.0,0.6728260869565217
0.001,6.0,391.0,0.6728260869565217
0.001,6.0,401.0,0.6728260869565217
0.001,6.0,411.0,0.6728260869565217
0.001,6.0,421.0,0.6728260869565217
0.001,6.0,431.0,0.6728260869565217
0.001,6.0,441.0,0.6728260869565217
0.001,6.0,451.0,0.6728260869565217
0.001,6.0,461.0,0.6728260869565217
0.001,6.0,471.0,0.6728260869565217
0.001,6.0,481.0,0.6728260869565217
0.001,6.0,491.0,0.6728260869565217
0.001,6.0,501.0,0.6728260869565217
0.001,6.0,511.0,0.6728260869565217
0.001,6.0,521.0,0.6728260869565217
0.001,6.0,531.0,0.6728260869565217
0.001,6.0,541.0,0.6728260869565217
0.001,6.0,551.0,0.6728260869565217
0.001,6.0,561.0,0.6811594202898551
0.001,6.0,571.0,0.6811594202898551
0.001,6.0,581.0,0.6811594202898551
0.001,6.0,591.0,0.6811594202898551
0.001,6.0,601.0,0.6728260869565217
0.001,6.0,611.0,0.6728260869565217
0.001,6.0,621.0,0.6728260869565217
0.001,6.0,631.0,0.6728260869565217
0.001,6.0,641.0,0.6728260869565217
0.001,6.0,651.0,0.6728260869565217
0.001,6.0,661.0,0.6728260869565217
0.001,6.0,671.0,0.6811594202898551
0.001,6.0,681.0,0.6811594202898551
0.001,6.0,691.0,0.6811594202898551
0.001,6.0,701.0,0.7061594202898551
0.001,6.0,711.0,0.7061594202898551
0.001,6.0,721.0,0.7061594202898551
0.001,6.0,731.0,0.7061594202898551
0.001,6.0,741.0,0.7061594202898551
0.001,6.0,751.0,0.6978260869565217
0.001,6.0,761.0,0.6978260869565217
0.001,6.0,771.0,0.6978260869565217
0.001,6.0,781.0,0.6978260869565217
0.001,6.0,791.0,0.6978260869565217
0.001,6.0,801.0,0.6978260869565217
0.001,6.0,811.0,0.6978260869565217
0.001,6.0,821.0,0.6978260869565217
0.001,6.0,831.0,0.6978260869565217
0.001,6.0,841.0,0.6978260869565217
0.001,6.0,851.0,0.6978260869565217
0.001,6.0,861.0,0.6978260869565217
0.001,6.0,871.0,0.6978260869565217
0.001,6.0,881.0,0.6978260869565217
0.001,6.0,891.0,0.6978260869565217
